account,city_name,result,identifier,population,currency,chart_of_account,country_iso,date
305,Cornol,68440.4,266782,1018,CHF,MCH2,CH,31.12.2022
305,Courchavon,16433.5,266783,293,CHF,MCH2,CH,31.12.2022
305,Courgenay,175892.18,266784,2435,CHF,MCH2,CH,31.12.2022
305,Courtedoux,66755.55,266785,786,CHF,MCH2,CH,31.12.2022
305,Fahy,20369.85,266789,333,CHF,MCH2,CH,31.12.2022
305,Fontenais,143177.1,266790,1674,CHF,MCH2,CH,31.12.2022
305,Grandfontaine,21070.36,266792,391,CHF,MCH2,CH,31.12.2022
305,Haute-Ajoie,203713.45,266809,1052,CHF,MCH2,CH,31.12.2022
305,Porrentruy,1913749.66,266800,24123,CHF,MCH2,CH,31.12.2022
305,Vendlincourt,49833.8,266806,546,CHF,MCH2,CH,31.12.2022
305,Delémont,6725910.54,266711,39309,CHF,MCH2,CH,31.12.2022
305,Porrentruy,3599720.34,266800,24123,CHF,MCH2,CH,31.12.2022
306,Boécourt,0,266702,951,CHF,MCH2,CH,31.12.2022
306,Bourrignon,0,266703,258,CHF,MCH2,CH,31.12.2022
306,Courchapoix,0,266706,441,CHF,MCH2,CH,31.12.2022
306,Courrendlin,3029.75,266708,3686,CHF,MCH2,CH,31.12.2022
306,Courroux,0,266709,3313,CHF,MCH2,CH,31.12.2022
306,Courtételle,0,266710,2654,CHF,MCH2,CH,31.12.2022
306,Delémont,45078.3,266711,39309,CHF,MCH2,CH,31.12.2022
306,Develier,0,266712,1360,CHF,MCH2,CH,31.12.2022
306,Ederswiler,0,266713,112,CHF,MCH2,CH,31.12.2022
306,Haute-Sorne,0,266729,7319,CHF,MCH2,CH,31.12.2022
306,Mervelier,0,266715,522,CHF,MCH2,CH,31.12.2022
306,Mettembert,0,266716,106,CHF,MCH2,CH,31.12.2022
306,Movelier,0,266718,425,CHF,MCH2,CH,31.12.2022
306,Pleigne,0,266719,350,CHF,MCH2,CH,31.12.2022
306,Rossemaison,0,266721,733,CHF,MCH2,CH,31.12.2022
306,Saulcy,0,266722,270,CHF,MCH2,CH,31.12.2022
306,Soyhières,0,266724,417,CHF,MCH2,CH,31.12.2022
306,Val Terbi,0,266730,3285,CHF,MCH2,CH,31.12.2022
306,Les Bois,0,266742,1258,CHF,MCH2,CH,31.12.2022
306,Les Breuleux,500,266743,1524,CHF,MCH2,CH,31.12.2022
306,Les Enfers,0,266745,156,CHF,MCH2,CH,31.12.2022
306,Montfaucon,0,266751,551,CHF,MCH2,CH,31.12.2022
306,Muriaux,0,266753,511,CHF,MCH2,CH,31.12.2022
306,Le Noirmont,0,266754,1902,CHF,MCH2,CH,31.12.2022
306,Saignelégier,0,266757,2575,CHF,MCH2,CH,31.12.2022
306,Saint-Brais,0,266758,228,CHF,MCH2,CH,31.12.2022
306,Soubey,0,266759,118,CHF,MCH2,CH,31.12.2022
306,Alle,0,266771,1882,CHF,MCH2,CH,31.12.2022
306,La Baroche,0,266810,1114,CHF,MCH2,CH,31.12.2022
306,Basse-Allaine,0,266807,1217,CHF,MCH2,CH,31.12.2022
306,Boncourt,0,266774,1205,CHF,MCH2,CH,31.12.2022
306,Bure,0,266778,631,CHF,MCH2,CH,31.12.2022
306,Clos du Doubs,0,266808,1275,CHF,MCH2,CH,31.12.2022
306,Coeuve,0,266781,718,CHF,MCH2,CH,31.12.2022
306,Cornol,0,266782,1018,CHF,MCH2,CH,31.12.2022
306,Courchavon,0,266783,293,CHF,MCH2,CH,31.12.2022
306,Courgenay,0,266784,2435,CHF,MCH2,CH,31.12.2022
306,Courtedoux,0,266785,786,CHF,MCH2,CH,31.12.2022
306,Fahy,0,266789,333,CHF,MCH2,CH,31.12.2022
306,Fontenais,0,266790,1674,CHF,MCH2,CH,31.12.2022
306,Grandfontaine,0,266792,391,CHF,MCH2,CH,31.12.2022
306,Haute-Ajoie,0,266809,1052,CHF,MCH2,CH,31.12.2022
306,Porrentruy,0,266800,24123,CHF,MCH2,CH,31.12.2022
306,Vendlincourt,0,266806,546,CHF,MCH2,CH,31.12.2022
306,Delémont,48108.05,266711,39309,CHF,MCH2,CH,31.12.2022
306,Porrentruy,7581.25,266800,24123,CHF,MCH2,CH,31.12.2022
309,Boécourt,907,266702,951,CHF,MCH2,CH,31.12.2022
309,Bourrignon,577.55,266703,258,CHF,MCH2,CH,31.12.2022
309,Courchapoix,2678.4,266706,441,CHF,MCH2,CH,31.12.2022
309,Courrendlin,31198,266708,3686,CHF,MCH2,CH,31.12.2022
309,Courroux,35483.59,266709,3313,CHF,MCH2,CH,31.12.2022
309,Courtételle,18981.55,266710,2654,CHF,MCH2,CH,31.12.2022
309,Delémont,237249.71,266711,39309,CHF,MCH2,CH,31.12.2022
309,Develier,25304.57,266712,1360,CHF,MCH2,CH,31.12.2022
309,Ederswiler,3825.95,266713,112,CHF,MCH2,CH,31.12.2022
309,Haute-Sorne,23559.15,266729,7319,CHF,MCH2,CH,31.12.2022
309,Mervelier,8383.15,266715,522,CHF,MCH2,CH,31.12.2022
309,Mettembert,9066.68,266716,106,CHF,MCH2,CH,31.12.2022
309,Movelier,2160.15,266718,425,CHF,MCH2,CH,31.12.2022
309,Pleigne,7802.4,266719,350,CHF,MCH2,CH,31.12.2022
309,Rossemaison,7531.35,266721,733,CHF,MCH2,CH,31.12.2022
309,Saulcy,7250,266722,270,CHF,MCH2,CH,31.12.2022
309,Soyhières,14077.55,266724,417,CHF,MCH2,CH,31.12.2022
309,Val Terbi,23286.15,266730,3285,CHF,MCH2,CH,31.12.2022
309,Les Bois,8643.4,266742,1258,CHF,MCH2,CH,31.12.2022
309,Les Breuleux,60943.79,266743,1524,CHF,MCH2,CH,31.12.2022
309,Les Enfers,0,266745,156,CHF,MCH2,CH,31.12.2022
309,Montfaucon,9410.35,266751,551,CHF,MCH2,CH,31.12.2022
309,Muriaux,3477.05,266753,511,CHF,MCH2,CH,31.12.2022
309,Le Noirmont,38497.3,266754,1902,CHF,MCH2,CH,31.12.2022
309,Saignelégier,19559.6,266757,2575,CHF,MCH2,CH,31.12.2022
309,Saint-Brais,240.3,266758,228,CHF,MCH2,CH,31.12.2022
309,Soubey,0,266759,118,CHF,MCH2,CH,31.12.2022
309,Alle,2749.35,266771,1882,CHF,MCH2,CH,31.12.2022
309,La Baroche,3161.95,266810,1114,CHF,MCH2,CH,31.12.2022
309,Basse-Allaine,9603.2,266807,1217,CHF,MCH2,CH,31.12.2022
309,Boncourt,37740.41,266774,1205,CHF,MCH2,CH,31.12.2022
309,Bure,8856.77,266778,631,CHF,MCH2,CH,31.12.2022
309,Clos du Doubs,9523.75,266808,1275,CHF,MCH2,CH,31.12.2022
309,Coeuve,4736.5,266781,718,CHF,MCH2,CH,31.12.2022
309,Cornol,8644.9,266782,1018,CHF,MCH2,CH,31.12.2022
309,Courchavon,8284.75,266783,293,CHF,MCH2,CH,31.12.2022
309,Courgenay,7598.45,266784,2435,CHF,MCH2,CH,31.12.2022
309,Courtedoux,9678.2,266785,786,CHF,MCH2,CH,31.12.2022
309,Fahy,243.4,266789,333,CHF,MCH2,CH,31.12.2022
309,Fontenais,5044.1,266790,1674,CHF,MCH2,CH,31.12.2022
309,Grandfontaine,5928.7,266792,391,CHF,MCH2,CH,31.12.2022
309,Haute-Ajoie,22080.8,266809,1052,CHF,MCH2,CH,31.12.2022
309,Porrentruy,77986.68,266800,24123,CHF,MCH2,CH,31.12.2022
309,Vendlincourt,0,266806,546,CHF,MCH2,CH,31.12.2022
309,Delémont,462091.3500000001,266711,39309,CHF,MCH2,CH,31.12.2022
309,Porrentruy,224945.37999999998,266800,24123,CHF,MCH2,CH,31.12.2022
310,Boécourt,71520.05,266702,951,CHF,MCH2,CH,31.12.2022
310,Bourrignon,12786.45,266703,258,CHF,MCH2,CH,31.12.2022
310,Courchapoix,34804.61,266706,441,CHF,MCH2,CH,31.12.2022
310,Courrendlin,350063.01,266708,3686,CHF,MCH2,CH,31.12.2022
310,Courroux,266725.54,266709,3313,CHF,MCH2,CH,31.12.2022
310,Courtételle,198925.25,266710,2654,CHF,MCH2,CH,31.12.2022
310,Delémont,2209272.09,266711,39309,CHF,MCH2,CH,31.12.2022
310,Develier,205043.2,266712,1360,CHF,MCH2,CH,31.12.2022
310,Ederswiler,5446.35,266713,112,CHF,MCH2,CH,31.12.2022
310,Haute-Sorne,689938.1,266729,7319,CHF,MCH2,CH,31.12.2022
